iter	Logloss
0	0.6766654923
1	0.6536213762
2	0.6398751759
3	0.6275785498
4	0.6161547874
5	0.6056817047
6	0.5912461753
7	0.5837876645
8	0.573398057
9	0.5668067199
10	0.5591781433
11	0.5542840771
12	0.5496682805
13	0.5457079016
14	0.5421595417
15	0.5356432769
16	0.5320606341
17	0.5260216289
18	0.5204561257
19	0.5177539026
20	0.5139797748
21	0.5101559985
22	0.507982161
23	0.5057333954
24	0.5040214209
25	0.5022462712
26	0.4997736612
27	0.4982114981
28	0.4969446756
29	0.4948312534
30	0.4932684641
31	0.4922498634
32	0.4902367813
33	0.4872726426
34	0.485244078
35	0.4837695587
36	0.4817807799
37	0.479585217
38	0.478004101
39	0.4762254255
40	0.4747970068
41	0.4731390071
42	0.4722034812
43	0.471197898
44	0.4698870464
45	0.467942093
46	0.4653774738
47	0.4623800037
48	0.4607587148
49	0.4594250366
50	0.4577867339
51	0.4564532303
52	0.4558000683
53	0.4546262522
54	0.453590635
55	0.4511610689
56	0.4504061831
57	0.4484665156
58	0.4471290277
59	0.4458923063
60	0.4452101368
61	0.4433553831
62	0.4426305954
63	0.4402198187
64	0.4397516999
65	0.4380583844
66	0.4367381258
67	0.4354167946
68	0.434681935
69	0.4334332899
70	0.433004525
71	0.432329975
72	0.4314927993
73	0.4311061104
74	0.4296501988
75	0.4289333246
76	0.4277029923
77	0.4272846582
78	0.4260335418
79	0.4248113723
80	0.4244743689
81	0.4237613367
82	0.422448635
83	0.4209645019
84	0.4200618968
85	0.4192607268
86	0.4184308642
87	0.4175498873
88	0.4170714904
89	0.4165172895
90	0.4148921639
91	0.414093637
92	0.4139542833
93	0.4116912761
94	0.4107209561
95	0.4100396364
96	0.4091085228
97	0.4081245918
98	0.4074882115
99	0.407082673
100	0.4066687496
101	0.4063692385
102	0.4048039295
103	0.4043599645
104	0.403924873
105	0.4030305713
106	0.4025023411
107	0.4010573591
108	0.4005375739
109	0.3999814879
110	0.3985934037
111	0.3970785509
112	0.3955525312
113	0.3947595077
114	0.3939331365
115	0.3936170568
116	0.3931181082
117	0.3924324989
118	0.3916494538
119	0.3910536373
120	0.3896956931
121	0.3892974062
122	0.3884999881
123	0.3881866885
124	0.3870477598
125	0.3861436495
126	0.3859474321
127	0.3853845124
128	0.3849222514
129	0.3846979462
130	0.3845072565
131	0.3836670423
132	0.3834271535
133	0.3823100851
134	0.3810785588
135	0.3804823722
136	0.3802424314
137	0.3796230215
138	0.3787295847
139	0.3780303479
140	0.3777583001
141	0.3772086866
142	0.3766394253
143	0.3762885491
144	0.3757331685
145	0.3754653131
146	0.3749713283
147	0.374313906
148	0.3740788061
149	0.3735854192
150	0.3733545328
151	0.3731542344
152	0.3728110544
153	0.3723527268
154	0.3716130643
155	0.3712781426
156	0.3708987595
157	0.3705712855
158	0.3700520837
159	0.3693987498
160	0.3688337435
161	0.3685726867
162	0.3682436517
163	0.3678746089
164	0.3676158719
165	0.3671335326
166	0.3666000798
167	0.3663388985
168	0.3660704362
169	0.3658954295
170	0.3655296253
171	0.3652058069
172	0.364963414
173	0.3646139436
174	0.364201523
175	0.363895795
176	0.3635614212
177	0.362768657
178	0.3625874079
179	0.3622073638
180	0.3618422162
181	0.3615321384
182	0.3605057262
183	0.359542307
184	0.3591851909
185	0.3585042121
186	0.3576543976
187	0.3573367722
188	0.357200766
189	0.3564730264
190	0.3556440137
191	0.3550255418
192	0.3548524052
193	0.3537428244
194	0.353524629
195	0.3525259429
196	0.3520184236
197	0.3515607724
198	0.351216851
199	0.3508365268
200	0.3503101582
201	0.3497429726
202	0.3489566807
203	0.3484905072
204	0.3478276127
205	0.346961175
206	0.3466853486
207	0.34614146
208	0.3457273764
209	0.3453547037
210	0.3444259595
211	0.343825276
212	0.3434688442
213	0.3430253659
214	0.3423221841
215	0.3418871903
216	0.3412526743
217	0.3409791748
218	0.3399476482
219	0.3391338621
220	0.338912564
221	0.3386233306
222	0.3381181633
223	0.3371171121
224	0.3369443704
225	0.3360053233
226	0.3355719395
227	0.3350741424
228	0.3348746772
229	0.3343155006
230	0.3334857138
231	0.3321094286
232	0.3317075611
233	0.3310395309
234	0.330326227
235	0.3301249601
236	0.3298674022
237	0.3293274183
238	0.329091982
239	0.3283523542
240	0.3280665407
241	0.3276122867
242	0.3270617533
243	0.3264856611
244	0.3261449679
245	0.3259169746
246	0.3252557107
247	0.3244921677
248	0.3240411617
249	0.3238497087
250	0.3234176971
251	0.3232623752
252	0.3226890107
253	0.3220587694
254	0.3217971503
255	0.3212629731
256	0.320400357
257	0.3199786488
258	0.3191933277
259	0.3189336922
260	0.31875726
261	0.3174442175
262	0.3173402485
263	0.3171381433
264	0.3167940721
265	0.3165453484
266	0.315954582
267	0.3157072417
268	0.3154234249
269	0.3150539288
270	0.3149365141
271	0.3143937207
272	0.3137556801
273	0.3134572451
274	0.3123782513
275	0.3118767962
276	0.3117350351
277	0.3115814687
278	0.3109221371
279	0.3106786902
280	0.3104794957
281	0.3094072644
282	0.3087659475
283	0.3083860537
284	0.3080404022
285	0.3078514321
286	0.3077547601
287	0.3072253365
288	0.3069200033
289	0.3066794974
290	0.3062775865
291	0.3060765612
292	0.3058169738
293	0.3055191828
294	0.3052481831
295	0.3050289593
296	0.30484946
297	0.3043713473
298	0.3038140306
299	0.3036784898
300	0.3035415482
301	0.3033638635
302	0.3032004718
303	0.3026710969
304	0.3021456805
305	0.3015657907
306	0.3013703826
307	0.3012347427
308	0.3008087404
309	0.2999091506
310	0.2997276655
311	0.2995863237
312	0.2986080397
313	0.2982249847
314	0.2977422881
315	0.2974755786
316	0.2971613081
317	0.296888757
318	0.2966710417
319	0.2962381605
320	0.296077451
321	0.2959963133
322	0.2953647334
323	0.2951388709
324	0.2947947001
325	0.2946234763
326	0.294212425
327	0.2939132102
328	0.2937348791
329	0.2935759836
330	0.2932768423
331	0.2929025276
332	0.2926450626
333	0.2924818583
334	0.2921708028
335	0.2919447942
336	0.2917514868
337	0.2916629016
338	0.2909859259
339	0.2907445256
340	0.2906690203
341	0.2901100879
342	0.2897183035
343	0.2896362974
344	0.2894341251
345	0.2892223029
346	0.2888984796
347	0.2886092307
348	0.2884001829
349	0.2882060904
350	0.2879829298
351	0.2878926798
352	0.2875472706
353	0.2874067564
354	0.2872392682
355	0.2867452469
356	0.2866184513
357	0.2862549445
358	0.2859198194
359	0.2857204994
360	0.2856345179
361	0.2852774377
362	0.2849833375
363	0.2848454786
364	0.2846260144
365	0.2844730691
366	0.2843422225
367	0.2841167464
368	0.2839166442
369	0.2837741553
370	0.2835335207
371	0.283414499
372	0.2832668479
373	0.2830337707
374	0.2828286957
375	0.2827270542
376	0.2826147638
377	0.2824750178
378	0.2823865839
379	0.2818347999
380	0.2816890046
381	0.2815946852
382	0.2812867319
383	0.2810226817
384	0.2809187562
385	0.2808226224
386	0.2804406674
387	0.2800495246
388	0.2797665861
389	0.2796422391
390	0.2794885087
391	0.2793336902
392	0.2791932247
393	0.2790281262
394	0.278608095
395	0.278426991
396	0.2783147728
397	0.2779642912
398	0.2776465479
399	0.2775275459
400	0.2773698162
401	0.2772753183
402	0.2771567102
403	0.2769710332
404	0.2767625305
405	0.2766136094
406	0.2764656852
407	0.2762870767
408	0.2761551441
409	0.2759865887
410	0.2758911451
411	0.275691938
412	0.2755991241
413	0.2754235091
414	0.2751281784
415	0.2748045089
416	0.2746654939
417	0.2745156458
418	0.2744269524
419	0.2743372924
420	0.2741342673
421	0.2739807926
422	0.2738070264
423	0.2735834383
424	0.2734453152
425	0.2733307028
426	0.2732233008
427	0.2730854688
428	0.2729872029
429	0.2728585055
430	0.2725476593
431	0.2722641263
432	0.2720931686
433	0.2719316916
434	0.2717959128
435	0.2716398286
436	0.2715672933
437	0.2710587409
438	0.2709284017
439	0.2707582897
440	0.2705978524
441	0.2704840261
442	0.27038696
443	0.2701327401
444	0.2700264875
445	0.26988894
446	0.2698036002
447	0.2696241884
448	0.2695210604
449	0.2694520088
450	0.2693564351
451	0.2692318008
452	0.2690789314
453	0.2689124532
454	0.268767176
455	0.2685340403
456	0.2684266766
457	0.2683754586
458	0.2683323292
459	0.2682110514
460	0.2680900308
461	0.2678228841
462	0.2675892613
463	0.2672304742
464	0.2670102457
465	0.2669133415
466	0.2668627377
467	0.266757974
468	0.2666410727
469	0.2665463815
470	0.2662980671
471	0.2661268284
472	0.2659145832
473	0.2657288676
474	0.2655284984
475	0.2654249669
476	0.2653269026
477	0.2651966312
478	0.2650378265
479	0.2648942388
480	0.2647164486
481	0.2643355976
482	0.2640084289
483	0.2638801417
484	0.2638080878
485	0.2635163073
486	0.2632422466
487	0.2631306964
488	0.2630297497
489	0.2629181362
490	0.2627514567
491	0.2625221154
492	0.2623767795
493	0.2620895336
494	0.2617954744
495	0.2616766317
496	0.261528091
497	0.2614277536
498	0.2613623822
499	0.2612172486
